profile,sigma_px,parallel_offset_px,distance_px,R,G,B,V_max_RGB,parallel_median_V
side-upper,0,-2,-7.0,166.0,128.0,177.0,177.0,152.0
side-upper,0,-2,-6.75,161.25,123.75,172.0,172.0,157.5
side-upper,0,-2,-6.5,156.5,119.5,167.0,167.0,163.0
side-upper,0,-2,-6.25,151.75,115.25,162.0,162.0,163.25
side-upper,0,-2,-6.0,147.0,111.0,157.0,157.0,169.0
side-upper,0,-2,-5.75,148.5,112.5,158.5,158.5,168.5
side-upper,0,-2,-5.5,150.0,114.0,160.0,160.0,167.5
side-upper,0,-2,-5.25,151.5,115.5,161.5,161.5,164.25
side-upper,0,-2,-5.0,153.0,117.0,163.0,163.0,164.0
side-upper,0,-2,-4.75,160.5,124.5,170.5,170.5,168.25
side-upper,0,-2,-4.5,168.0,132.0,178.0,178.0,169.5
side-upper,0,-2,-4.25,175.5,139.5,185.5,185.5,170.75
side-upper,0,-2,-4.0,183.0,147.0,193.0,193.0,172.0
side-upper,0,-2,-3.75,183.25,147.25,193.25,193.25,171.25
side-upper,0,-2,-3.5,183.5,147.5,193.5,193.5,170.5
side-upper,0,-2,-3.25,183.75,147.75,193.75,193.75,169.75
side-upper,0,-2,-3.0,184.0,148.0,194.0,194.0,169.0
side-upper,0,-2,-2.75,183.25,147.25,193.25,193.25,172.25
side-upper,0,-2,-2.5,182.5,146.5,192.5,192.5,176.5
side-upper,0,-2,-2.25,181.75,145.75,191.75,191.75,179.0
side-upper,0,-2,-2.0,181.0,145.0,191.0,191.0,179.0
side-upper,0,-2,-1.75,181.5,146.25,192.0,192.0,181.25
side-upper,0,-2,-1.5,182.0,147.5,193.0,193.0,183.5
side-upper,0,-2,-1.25,182.5,148.75,194.0,194.0,185.75
side-upper,0,-2,-1.0,183.0,150.0,195.0,195.0,188.0
side-upper,0,-2,-0.75,176.75,143.75,188.75,188.75,180.0
side-upper,0,-2,-0.5,170.5,137.5,182.5,182.5,172.0
side-upper,0,-2,-0.25,164.25,131.25,176.25,176.25,164.0
side-upper,0,-2,0.0,158.0,125.0,170.0,170.0,156.0
side-upper,0,-2,0.25,157.25,123.0,169.0,169.0,160.25
side-upper,0,-2,0.5,156.5,121.0,168.0,168.0,164.5
side-upper,0,-2,0.75,155.75,119.0,167.0,167.0,167.0
side-upper,0,-2,1.0,155.0,117.0,166.0,166.0,166.0
side-upper,0,-2,1.25,158.25,120.25,169.25,169.25,169.25
side-upper,0,-2,1.5,161.5,123.5,172.5,172.5,172.5
side-upper,0,-2,1.75,164.75,126.75,175.75,175.75,175.75
side-upper,0,-2,2.0,168.0,130.0,179.0,179.0,177.0
side-upper,0,-2,2.25,170.0,132.5,181.25,181.25,176.0
side-upper,0,-2,2.5,172.0,135.0,183.5,183.5,175.0
side-upper,0,-2,2.75,174.0,137.5,185.75,185.75,174.0
side-upper,0,-2,3.0,176.0,140.0,188.0,188.0,173.0
side-upper,0,-2,3.25,176.0,140.0,188.0,188.0,176.25
side-upper,0,-2,3.5,176.0,140.0,188.0,188.0,178.5
side-upper,0,-2,3.75,176.0,140.0,188.0,188.0,177.25
side-upper,0,-2,4.0,176.0,140.0,188.0,188.0,179.0
side-upper,0,-2,4.25,176.25,140.25,188.25,188.25,182.5
side-upper,0,-2,4.5,176.5,140.5,188.5,188.5,186.0
side-upper,0,-2,4.75,176.75,140.75,188.75,188.75,186.75
side-upper,0,-2,5.0,177.0,141.0,189.0,189.0,187.0
side-upper,0,-2,5.25,178.25,142.25,190.25,190.25,188.75
side-upper,0,-2,5.5,179.5,143.5,191.5,191.5,190.5
side-upper,0,-2,5.75,180.75,144.75,192.75,192.75,192.25
side-upper,0,-2,6.0,182.0,146.0,194.0,194.0,192.0
side-upper,0,-2,6.25,183.25,147.25,195.25,195.25,195.25
side-upper,0,-2,6.5,184.5,148.5,196.5,196.5,196.5
side-upper,0,-2,6.75,185.75,149.75,197.75,197.75,199.75
side-upper,0,-2,7.0,187.0,151.0,199.0,199.0,204.0
side-upper,0,-1,-7.0,166.0,130.0,178.0,178.0,152.0
side-upper,0,-1,-6.75,164.75,128.75,176.75,176.75,157.5
side-upper,0,-1,-6.5,163.5,127.5,175.5,175.5,163.0
side-upper,0,-1,-6.25,162.25,126.25,174.25,174.25,163.25
side-upper,0,-1,-6.0,161.0,125.0,173.0,173.0,169.0
side-upper,0,-1,-5.75,160.25,124.25,171.75,171.75,168.5
side-upper,0,-1,-5.5,159.5,123.5,170.5,170.5,167.5
side-upper,0,-1,-5.25,158.75,122.75,169.25,169.25,164.25
side-upper,0,-1,-5.0,158.0,122.0,168.0,168.0,164.0
side-upper,0,-1,-4.75,161.25,126.0,171.25,171.25,168.25
side-upper,0,-1,-4.5,164.5,130.0,174.5,174.5,169.5
side-upper,0,-1,-4.25,167.75,134.0,177.75,177.75,170.75
side-upper,0,-1,-4.0,171.0,138.0,181.0,181.0,172.0
side-upper,0,-1,-3.75,170.5,137.5,180.5,180.5,171.25
side-upper,0,-1,-3.5,170.0,137.0,180.0,180.0,170.5
