image,id,color,region_pixels,category,nominal_state,nominal_ratio,omission_ratio_min,omission_ratio_max
beads3,47,white,151,threshold_sensitive,ordinary,0.5092748735244519,0.45481927710843373,0.578544061302682
beads3,122,black,683,persistent_large,large,2.7157057654075545,2.7103174603174605,2.7211155378486054
beads3,163,red,522,threshold_sensitive,ordinary,1.8445229681978799,1.6893203883495145,2.0311284046692606
beads3,198,white,175,threshold_sensitive,ordinary,0.5147058823529411,0.4807692307692308,0.5537974683544303
beads3,199,black,570,threshold_sensitive,ordinary,1.9387755102040816,1.8210862619808306,2.0727272727272728
beads3,346,black,702,threshold_sensitive,ordinary,2.0,1.9024390243902438,2.108108108108108
beads3,405,black,754,persistent_large,large,2.029609690444145,2.016042780748663,2.043360433604336
beads4,272,green,165,threshold_sensitive,ordinary,0.5221518987341772,0.49107142857142855,0.5574324324324325
beads5,188,purple,534,threshold_sensitive,large,2.007518796992481,1.970479704797048,2.045977011494253
beads5,349,gray,684,threshold_sensitive,ordinary,1.9186535764375876,1.8,2.054054054054054
beads5,364,white,685,threshold_sensitive,ordinary,1.9655667144906743,1.9241573033707866,2.0087976539589443
beads6,144,blue-gray,557,threshold_sensitive,ordinary,1.9716814159292035,1.8754208754208754,2.078358208955224
beads6,189,blue-gray,663,threshold_sensitive,ordinary,1.916184971098266,1.7586206896551724,2.104761904761905
beads7,128,black,191,threshold_sensitive,ordinary,0.506631299734748,0.4681372549019608,0.5520231213872833
beads7,200,red,154,threshold_sensitive,ordinary,0.5107794361525705,0.4782608695652174,0.5480427046263345
beads7,236,green,502,threshold_sensitive,ordinary,1.9802761341222879,1.9015151515151516,2.065843621399177
