target_id,profile,sigma_px,parallel_offset_px,distance_px,red,green,blue,value
144,side-upper,0,-2,-7.0,73.0,124.0,141.0,141.0
144,side-upper,0,-2,-6.75,70.75,122.25,139.0,139.0
144,side-upper,0,-2,-6.5,68.5,120.5,137.0,137.0
144,side-upper,0,-2,-6.25,66.25,118.75,135.0,135.0
144,side-upper,0,-2,-6.0,64.0,117.0,133.0,133.0
144,side-upper,0,-2,-5.75,67.75,120.75,137.25,137.25
144,side-upper,0,-2,-5.5,71.5,124.5,141.5,141.5
144,side-upper,0,-2,-5.25,75.25,128.25,145.75,145.75
144,side-upper,0,-2,-5.0,79.0,132.0,150.0,150.0
144,side-upper,0,-2,-4.75,81.25,134.75,153.25,153.25
144,side-upper,0,-2,-4.5,83.5,137.5,156.5,156.5
144,side-upper,0,-2,-4.25,85.75,140.25,159.75,159.75
144,side-upper,0,-2,-4.0,88.0,143.0,163.0,163.0
144,side-upper,0,-2,-3.75,87.5,143.0,162.75,162.75
144,side-upper,0,-2,-3.5,87.0,143.0,162.5,162.5
144,side-upper,0,-2,-3.25,86.5,143.0,162.25,162.25
144,side-upper,0,-2,-3.0,86.0,143.0,162.0,162.0
144,side-upper,0,-2,-2.75,87.25,144.5,163.75,163.75
144,side-upper,0,-2,-2.5,88.5,146.0,165.5,165.5
144,side-upper,0,-2,-2.25,89.75,147.5,167.25,167.25
144,side-upper,0,-2,-2.0,91.0,149.0,169.0,169.0
144,side-upper,0,-2,-1.75,87.75,146.5,166.25,166.25
144,side-upper,0,-2,-1.5,84.5,144.0,163.5,163.5
144,side-upper,0,-2,-1.25,81.25,141.5,160.75,160.75
144,side-upper,0,-2,-1.0,78.0,139.0,158.0,158.0
144,side-upper,0,-2,-0.75,81.75,142.75,162.25,162.25
144,side-upper,0,-2,-0.5,85.5,146.5,166.5,166.5
144,side-upper,0,-2,-0.25,89.25,150.25,170.75,170.75
144,side-upper,0,-2,0.0,93.0,154.0,175.0,175.0
144,side-upper,0,-2,0.25,90.0,151.25,172.25,172.25
144,side-upper,0,-2,0.5,87.0,148.5,169.5,169.5
144,side-upper,0,-2,0.75,84.0,145.75,166.75,166.75
144,side-upper,0,-2,1.0,81.0,143.0,164.0,164.0
144,side-upper,0,-2,1.25,82.25,144.25,165.25,165.25
144,side-upper,0,-2,1.5,83.5,145.5,166.5,166.5
144,side-upper,0,-2,1.75,84.75,146.75,167.75,167.75
144,side-upper,0,-2,2.0,86.0,148.0,169.0,169.0
144,side-upper,0,-2,2.25,85.0,146.75,167.25,167.25
144,side-upper,0,-2,2.5,84.0,145.5,165.5,165.5
144,side-upper,0,-2,2.75,83.0,144.25,163.75,163.75
144,side-upper,0,-2,3.0,82.0,143.0,162.0,162.0
144,side-upper,0,-2,3.25,83.75,144.0,163.25,163.25
144,side-upper,0,-2,3.5,85.5,145.0,164.5,164.5
144,side-upper,0,-2,3.75,87.25,146.0,165.75,165.75
144,side-upper,0,-2,4.0,89.0,147.0,167.0,167.0
144,side-upper,0,-2,4.25,89.0,146.75,166.5,166.5
144,side-upper,0,-2,4.5,89.0,146.5,166.0,166.0
144,side-upper,0,-2,4.75,89.0,146.25,165.5,165.5
144,side-upper,0,-2,5.0,89.0,146.0,165.0,165.0
144,side-upper,0,-2,5.25,88.75,145.75,164.75,164.75
144,side-upper,0,-2,5.5,88.5,145.5,164.5,164.5
144,side-upper,0,-2,5.75,88.25,145.25,164.25,164.25
