path,sigma_px,offset_px,distance_px,x,y,red,green,blue,saturation,value
A,0,-2,0.0,145.0,214.0,99.0,161.0,182.0,0.45604395604395603,182.0
A,0,-2,0.25,145.25,214.0,97.75,160.5,181.25,0.4606896551724138,181.25
A,0,-2,0.5,145.5,214.0,96.5,160.0,180.5,0.46537396121883656,180.5
A,0,-2,0.75,145.75,214.0,95.25,159.5,179.75,0.47009735744089015,179.75
A,0,-2,1.0,146.0,214.0,94.0,159.0,179.0,0.4748603351955307,179.0
A,0,-2,1.25,146.25,214.0,94.5,159.5,179.5,0.4735376044568245,179.5
A,0,-2,1.5,146.5,214.0,95.0,160.0,180.0,0.4722222222222222,180.0
A,0,-2,1.75,146.75,214.0,95.5,160.5,180.5,0.4709141274238227,180.5
A,0,-2,2.0,147.0,214.0,96.0,161.0,181.0,0.4696132596685083,181.0
A,0,-2,2.25,147.25,214.0,95.5,160.5,180.5,0.4709141274238227,180.5
A,0,-2,2.5,147.5,214.0,95.0,160.0,180.0,0.4722222222222222,180.0
A,0,-2,2.75,147.75,214.0,94.5,159.5,179.5,0.4735376044568245,179.5
A,0,-2,3.0,148.0,214.0,94.0,159.0,179.0,0.4748603351955307,179.0
A,0,-2,3.25,148.25,214.0,92.25,156.75,176.25,0.4765957446808511,176.25
A,0,-2,3.5,148.5,214.0,90.5,154.5,173.5,0.4783861671469741,173.5
A,0,-2,3.75,148.75,214.0,88.75,152.25,170.75,0.4802342606149341,170.75
A,0,-2,4.0,149.0,214.0,87.0,150.0,168.0,0.48214285714285715,168.0
A,0,-2,4.25,149.25,214.0,85.5,147.25,165.75,0.4841628959276018,165.75
A,0,-2,4.5,149.5,214.0,84.0,144.5,163.5,0.48623853211009177,163.5
A,0,-2,4.75,149.75,214.0,82.5,141.75,161.25,0.4883720930232558,161.25
A,0,-2,5.0,150.0,214.0,81.0,139.0,159.0,0.49056603773584906,159.0
A,0,-2,5.25,150.25,214.0,80.25,138.0,158.0,0.4920886075949367,158.0
A,0,-2,5.5,150.5,214.0,79.5,137.0,157.0,0.49363057324840764,157.0
A,0,-2,5.75,150.75,214.0,78.75,136.0,156.0,0.4951923076923077,156.0
A,0,-2,6.0,151.0,214.0,78.0,135.0,155.0,0.4967741935483871,155.0
A,0,-2,6.25,151.25,214.0,77.25,130.75,149.75,0.48414023372287146,149.75
A,0,-2,6.5,151.5,214.0,76.5,126.5,144.5,0.47058823529411764,144.5
A,0,-2,6.75,151.75,214.0,75.75,122.25,139.25,0.45601436265709155,139.25
A,0,-2,7.0,152.0,214.0,75.0,118.0,134.0,0.44029850746268656,134.0
A,0,-2,7.25,152.25,214.0,71.5,116.0,131.75,0.4573055028462998,131.75
A,0,-2,7.5,152.5,214.0,68.0,114.0,129.5,0.4749034749034749,129.5
A,0,-2,7.75,152.75,214.0,64.5,112.0,127.25,0.4931237721021611,127.25
A,0,-2,8.0,153.0,214.0,61.0,110.0,125.0,0.512,125.0
A,0,-2,8.25,153.25,214.0,66.25,117.25,132.75,0.5009416195856874,132.75
A,0,-2,8.5,153.5,214.0,71.5,124.5,140.5,0.49110320284697506,140.5
A,0,-2,8.75,153.75,214.0,76.75,131.75,148.25,0.4822934232715008,148.25
A,0,-2,9.0,154.0,214.0,82.0,139.0,156.0,0.47435897435897434,156.0
A,0,-2,9.25,154.25,214.0,86.25,145.25,162.5,0.46923076923076923,162.5
A,0,-2,9.5,154.5,214.0,90.5,151.5,169.0,0.46449704142011833,169.0
A,0,-2,9.75,154.75,214.0,94.75,157.75,175.5,0.4601139601139601,175.5
A,0,-2,10.0,155.0,214.0,99.0,164.0,182.0,0.45604395604395603,182.0
A,0,-2,10.25,155.25,214.0,98.0,163.75,182.0,0.46153846153846156,182.0
A,0,-2,10.5,155.5,214.0,97.0,163.5,182.0,0.46703296703296704,182.0
A,0,-2,10.75,155.75,214.0,96.0,163.25,182.0,0.4725274725274725,182.0
A,0,-2,11.0,156.0,214.0,95.0,163.0,182.0,0.47802197802197804,182.0
A,0,-2,11.25,156.25,214.0,94.75,162.25,182.0,0.4793956043956044,182.0
A,0,-2,11.5,156.5,214.0,94.5,161.5,182.0,0.4807692307692308,182.0
A,0,-2,11.75,156.75,214.0,94.25,160.75,182.0,0.48214285714285715,182.0
A,0,-2,12.0,157.0,214.0,94.0,160.0,182.0,0.4835164835164835,182.0
A,0,-2,12.25,157.25,214.0,95.0,160.0,182.25,0.4787379972565158,182.25
A,0,-2,12.5,157.5,214.0,96.0,160.0,182.5,0.473972602739726,182.5
A,0,-2,12.75,157.75,214.0,97.0,160.0,182.75,0.4692202462380301,182.75
A,0,-2,13.0,158.0,214.0,98.0,160.0,183.0,0.4644808743169399,183.0
A,0,-2,13.25,158.25,214.0,96.25,157.25,180.0,0.4652777777777778,180.0
A,0,-2,13.5,158.5,214.0,94.5,154.5,177.0,0.4661016949152542,177.0
A,0,-2,13.75,158.75,214.0,92.75,151.75,174.0,0.46695402298850575,174.0
A,0,-2,14.0,159.0,214.0,91.0,149.0,171.0,0.4678362573099415,171.0
A,0,-2,14.25,159.25,214.0,89.5,147.5,169.5,0.471976401179941,169.5
A,0,-2,14.5,159.5,214.0,88.0,146.0,168.0,0.47619047619047616,168.0
A,0,-2,14.75,159.75,214.0,86.5,144.5,166.5,0.4804804804804805,166.5
A,0,-2,15.0,160.0,214.0,85.0,143.0,165.0,0.48484848484848486,165.0
A,0,-1,0.0,145.0,215.0,114.0,174.0,198.0,0.42424242424242425,198.0
A,0,-1,0.25,145.25,215.0,109.5,170.75,193.75,0.43483870967741933,193.75
A,0,-1,0.5,145.5,215.0,105.0,167.5,189.5,0.44591029023746703,189.5
A,0,-1,0.75,145.75,215.0,100.5,164.25,185.25,0.4574898785425101,185.25
A,0,-1,1.0,146.0,215.0,96.0,161.0,181.0,0.4696132596685083,181.0
A,0,-1,1.25,146.25,215.0,95.5,161.0,180.75,0.47164591977869985,180.75
A,0,-1,1.5,146.5,215.0,95.0,161.0,180.5,0.47368421052631576,180.5
A,0,-1,1.75,146.75,215.0,94.5,161.0,180.25,0.47572815533980584,180.25
A,0,-1,2.0,147.0,215.0,94.0,161.0,180.0,0.4777777777777778,180.0
A,0,-1,2.25,147.25,215.0,94.0,161.0,180.0,0.4777777777777778,180.0
A,0,-1,2.5,147.5,215.0,94.0,161.0,180.0,0.4777777777777778,180.0
A,0,-1,2.75,147.75,215.0,94.0,161.0,180.0,0.4777777777777778,180.0
